Link,Type,Allowed
https://www.sgr777foods.com/besan-ladoo-mix,Home,Yes
https://www.sgr777foods.com/best-indian-sweets,Home,Yes
https://www.sgr777foods.com/blog,Home,Yes
https://www.sgr777foods.com/blog/benefits-of-soy-sauce,Home,Yes
https://www.sgr777foods.com/blog/chilli-sauce-price,Home,Yes
https://www.sgr777foods.com/blog/is-soy-sauce-healthy,Home,Yes
https://www.sgr777foods.com/blog/sauce-for-cooking,Home,Yes
https://www.sgr777foods.com/blog/types-of-sauces,Home,Yes
https://www.sgr777foods.com/blog/what-is-sauce,Home,Yes
https://www.sgr777foods.com/cancellation-refund-policy,Home,Yes
https://www.sgr777foods.com/contact-us,Home,Yes
https://www.sgr777foods.com/cooking-oil,Home,Yes
https://www.sgr777foods.com/cool-sharbat,Home,Yes
https://www.sgr777foods.com/culinary-pastes,Home,Yes
https://www.sgr777foods.com/disclaimer-policy,Home,Yes
https://www.sgr777foods.com/gingelly-oil,Home,Yes
https://www.sgr777foods.com/gluten-free-indian-snacks,Home,Yes
https://www.sgr777foods.com/healthy-snacks,Home,Yes
https://www.sgr777foods.com/healthy-snacks-for-kids,Home,Yes
https://www.sgr777foods.com/instant-mix,Home,Yes
https://www.sgr777foods.com/instant-multigrain-dosa-mix,Home,Yes
https://www.sgr777foods.com/instant-rasam-paste,Home,Yes
https://www.sgr777foods.com/instant-rava-idli-mix,Home,Yes
https://www.sgr777foods.com/instant-ready-meals,Home,Yes
https://www.sgr777foods.com/instant-rice-mix,Home,Yes
https://www.sgr777foods.com/instant-rice-sevai,Home,Yes
https://www.sgr777foods.com/instant-vegetable-upma-mix,Home,Yes
https://www.sgr777foods.com/khatta-meetha-poha-mix,Home,Yes
https://www.sgr777foods.com/low-calorie-breakfast,Home,Yes
https://www.sgr777foods.com/low-calorie-foods,Home,Yes
https://www.sgr777foods.com/meals-in-minutes,Home,Yes
https://www.sgr777foods.com/my-account,Home,Yes
https://www.sgr777foods.com/my-account/lost-password,Home,Yes
https://www.sgr777foods.com/pickles-chutneys,Home,Yes
https://www.sgr777foods.com/poha-instant-mix,Home,Yes
https://www.sgr777foods.com/privacy-policy,Home,Yes
https://www.sgr777foods.com/product/777-bajji-bonda-mix-200g,Home,Yes
https://www.sgr777foods.com/product/777-besan-ladoo-instant-mix-200g-40g,Home,Yes
https://www.sgr777foods.com/product/777-gulab-jamun-mix-180g,Home,Yes
https://www.sgr777foods.com/product/777-khatta-meetha-poha-instant-mix-200g-40g,Home,Yes
https://www.sgr777foods.com/product/777-mahani-pickle-300g,Home,Yes
https://www.sgr777foods.com/product/777-multigrain-dosa-instant-mix-500g-100g,Home,Yes
https://www.sgr777foods.com/product/777-poha-instant-mix-200g-40g,Home,Yes
https://www.sgr777foods.com/product/777-rava-dosa-instant-mix-500g-100g,Home,Yes
https://www.sgr777foods.com/product/777-rice-idli-instant-mix-500g-100g,Home,Yes
https://www.sgr777foods.com/product/777-spicy-green-pepper-pickle-300g,Home,Yes
https://www.sgr777foods.com/product/777-vegetable-upma-instant-mix-200g-40g,Home,Yes
https://www.sgr777foods.com/product/amla-pickle-300g,Home,Yes
https://www.sgr777foods.com/product/andhra-style-cut-mango-pickle-300g,Home,Yes
https://www.sgr777foods.com/product/andhra-style-mango-thokku-pickle,Home,Yes
https://www.sgr777foods.com/product/citron-pickle-300g,Home,Yes
https://www.sgr777foods.com/product/coriander-leaf-chutney,Home,Yes
https://www.sgr777foods.com/product/coriander-powder,Home,Yes
https://www.sgr777foods.com/product/curry-leaf-thokku,Home,Yes
https://www.sgr777foods.com/product/cut-mango-pickle-300g,Home,Yes
https://www.sgr777foods.com/product/ginger-chutney-thokku,Home,Yes
https://www.sgr777foods.com/product/ginger-pickle-300g,Home,Yes
https://www.sgr777foods.com/product/gongura-pickle,Home,Yes
https://www.sgr777foods.com/product/hot-onion-pickle-300g,Home,Yes
https://www.sgr777foods.com/product/instant-rava-idli,Home,Yes
https://www.sgr777foods.com/product/jeera-powder,Home,Yes
https://www.sgr777foods.com/product/mango-ginger-pickle-300g,Home,Yes
https://www.sgr777foods.com/product/mint-leaf-chutney-300g,Home,Yes
https://www.sgr777foods.com/product/onion-chutney-thokku,Home,Yes
https://www.sgr777foods.com/product/pepper-powder-50g,Home,Yes
https://www.sgr777foods.com/product/premium-red-chilli-powder,Home,Yes
https://www.sgr777foods.com/product/tomato-chutney-thokku,Home,Yes
https://www.sgr777foods.com/product/turmeric-powder,Home,Yes
https://www.sgr777foods.com/product/vadu-mango-pickle-300g,Home,Yes
https://www.sgr777foods.com/pure-spices,Home,Yes
https://www.sgr777foods.com/quick-breakfast-ideas,Home,Yes
https://www.sgr777foods.com/rava-dosa-mix,Home,Yes
https://www.sgr777foods.com/recipe,Home,Yes
https://www.sgr777foods.com/rice-idli-instant-mix,Home,Yes
https://www.sgr777foods.com/sauce,Home,Yes
https://www.sgr777foods.com/shipping-delivery-policy,Home,Yes
https://www.sgr777foods.com/shop,Home,Yes
https://www.sgr777foods.com/shortcut-vermicelli,Home,Yes
https://www.sgr777foods.com/spices-condiments,Home,Yes
https://www.sgr777foods.com/sweets-snacks,Home,Yes
https://www.sgr777foods.com/terms-and-conditions,Home,Yes
https://www.sgr777foods.com/traditional-indian-foods,Home,Yes
https://www.sgr777foods.com/vegetarian-snacks,Home,Yes
https://www.sgr777foods.com/vermicelli,Home,Yes
https://www.sgr777foods.com/weight-loss-foods,Home,Yes
https://www.sgr777foods.com/wishlist,Home,Yes
https://in.pinterest.com/mysgr777/_pins,External,Yes
https://maps.app.goo.gl/BUd2UBEB1KaLik2p9,External,Yes
https://www.facebook.com/sgr777instantfoods,External,Yes
https://www.instagram.com/sgr777food,External,Yes
https://www.youtube.com/channel/UCbjAzNWsuqeboe6eH_7CPVw,External,Yes
--- DISALLOWED LINKS (NOT CRAWLED) ---,,
robots.txt for sgr777foods.com,Info,N/A
https://sgr777foods.com/wp-content/uploads/wc-logs/,Disallowed,No
https://sgr777foods.com/wp-content/uploads/woocommerce_transient_files/,Disallowed,No
https://sgr777foods.com/wp-content/uploads/woocommerce_uploads/,Disallowed,No
https://sgr777foods.com/*?add-to-cart=,Disallowed,No
https://sgr777foods.com/*?*add-to-cart=,Disallowed,No
https://sgr777foods.com/wp-admin/,Disallowed,No
