Image Number,URL,Alt Text,Title,File Extension,File Size,Resolution,Status,Error Message
533,https://www.pothys.com/cdn/shop/files/3-POP-1282-RS-715.jpg?v=1752589025&width=533,"Violet elephant, kalamkari printed gajji silk saree with annam printed border & kalamkari printed pallu along with printed blouse","Violet elephant, kalamkari printed gajji silk saree with annam printed border & kalamkari printed pallu along with printed blouse (srcset variant)",.jpg,113.61 KB,533x659,Success,
534,https://www.pothys.com/cdn/shop/files/3-POP-1282-RS-715.jpg?v=1752589025&width=720,"Violet elephant, kalamkari printed gajji silk saree with annam printed border & kalamkari printed pallu along with printed blouse","Violet elephant, kalamkari printed gajji silk saree with annam printed border & kalamkari printed pallu along with printed blouse (srcset variant)",.jpg,195.68 KB,720x890,Success,
535,https://www.pothys.com/cdn/shop/files/3a_3d5136e4-0dcf-4533-aa23-b83c1b82935a.jpg?v=1752589025&width=533,"Violet elephant, kalamkari printed gajji silk saree with annam printed border & kalamkari printed pallu along with printed blouse","Violet elephant, kalamkari printed gajji silk saree with annam printed border & kalamkari printed pallu along with printed blouse (srcset variant)",.jpg,54.09 KB,533x659,Success,
536,https://www.pothys.com/cdn/shop/files/3a_3d5136e4-0dcf-4533-aa23-b83c1b82935a.jpg?v=1752589025&width=720,"Violet elephant, kalamkari printed gajji silk saree with annam printed border & kalamkari printed pallu along with printed blouse","Violet elephant, kalamkari printed gajji silk saree with annam printed border & kalamkari printed pallu along with printed blouse (srcset variant)",.jpg,82.78 KB,720x890,Success,
537,https://www.pothys.com/cdn/shop/files/02-DSSPR-022-RS-7195-_3.jpg?v=1760160819&width=940,"Elegant white floral and paisley vine multi-hue thread embroidered designer saree, thread embroidered border","Elegant white floral and paisley vine multi-hue thread embroidered designer saree, thread embroidered border (srcset variant)",.jpg,262.03 KB,910x1125,Success,
538,https://www.pothys.com/cdn/shop/files/04-DSSPR-024-RS-4495-_2.jpg?v=1760161092&width=940,"Tea green flower motifs, thread, and sequins embroidered designer saree, floral and geometric thread embroidered scallop border","Tea green flower motifs, thread, and sequins embroidered designer saree, floral and geometric thread embroidered scallop border (srcset variant)",.jpg,164.54 KB,910x1125,Success,
539,https://www.pothys.com/cdn/shop/files/2a_cc5c0992-0fe0-4a6a-966a-ba1e6e1e781f.jpg?v=1752588963&width=940,"Black elephant, kalamkari printed gajji silk saree with annam printed border & kalamkari printed pallu along with printed blouse","Black elephant, kalamkari printed gajji silk saree with annam printed border & kalamkari printed pallu along with printed blouse (srcset variant)",.jpg,78.35 KB,910x1125,Success,
540,https://www.pothys.com/cdn/shop/files/3S6A7040.jpg?v=1750160852&width=1066,Black floral design softy saree with self intricate zari design border & argyle design pallu,Black floral design softy saree with self intricate zari design border & argyle design pallu,.jpg,167.46 KB,910x1125,Success,
541,https://www.pothys.com/cdn/shop/files/7-POP-1286-RS-715.jpg?v=1752589085&width=720,"Red elephant, kalamkari printed gajji silk saree with annam printed border & kalamkari printed pallu along with printed blouse","Red elephant, kalamkari printed gajji silk saree with annam printed border & kalamkari printed pallu along with printed blouse (srcset variant)",.jpg,224.18 KB,720x890,Success,
542,https://www.pothys.com/cdn/shop/files/7-POP-1286-RS-715.jpg?v=1752589085&width=940,"Red elephant, kalamkari printed gajji silk saree with annam printed border & kalamkari printed pallu along with printed blouse","Red elephant, kalamkari printed gajji silk saree with annam printed border & kalamkari printed pallu along with printed blouse (srcset variant)",.jpg,235.22 KB,910x1125,Success,
543,https://www.pothys.com/cdn/shop/files/7a_34445827-1985-484b-9679-a107fb607a9c.jpg?v=1752589085&width=1066,"Red elephant, kalamkari printed gajji silk saree with annam printed border & kalamkari printed pallu along with printed blouse","Red elephant, kalamkari printed gajji silk saree with annam printed border & kalamkari printed pallu along with printed blouse",.jpg,90.78 KB,910x1125,Success,
544,https://www.pothys.com/cdn/shop/files/7a_34445827-1985-484b-9679-a107fb607a9c.jpg?v=1752589085&width=533,"Red elephant, kalamkari printed gajji silk saree with annam printed border & kalamkari printed pallu along with printed blouse","Red elephant, kalamkari printed gajji silk saree with annam printed border & kalamkari printed pallu along with printed blouse (srcset variant)",.jpg,63.03 KB,533x659,Success,
545,https://www.pothys.com/cdn/shop/files/7a_34445827-1985-484b-9679-a107fb607a9c.jpg?v=1752589085&width=720,"Red elephant, kalamkari printed gajji silk saree with annam printed border & kalamkari printed pallu along with printed blouse","Red elephant, kalamkari printed gajji silk saree with annam printed border & kalamkari printed pallu along with printed blouse (srcset variant)",.jpg,99.44 KB,720x890,Success,
546,https://www.pothys.com/cdn/shop/files/8-POP-1287-RS-1755.jpg?v=1752589347&width=533,Yellow digital printed sitara shimmer saree with lace border & self pallu along with plain blouse,Yellow digital printed sitara shimmer saree with lace border & self pallu along with plain blouse (srcset variant),.jpg,125.51 KB,533x659,Success,
547,https://www.pothys.com/cdn/shop/files/3a_3d5136e4-0dcf-4533-aa23-b83c1b82935a.jpg?v=1752589025&width=940,"Violet elephant, kalamkari printed gajji silk saree with annam printed border & kalamkari printed pallu along with printed blouse","Violet elephant, kalamkari printed gajji silk saree with annam printed border & kalamkari printed pallu along with printed blouse (srcset variant)",.jpg,78.92 KB,910x1125,Success,
548,https://www.pothys.com/cdn/shop/files/3S6A7040.jpg?v=1750160852&width=940,Black floral design softy saree with self intricate zari design border & argyle design pallu,Black floral design softy saree with self intricate zari design border & argyle design pallu (srcset variant),.jpg,167.46 KB,910x1125,Success,
549,https://www.pothys.com/cdn/shop/files/7-POP-1286-RS-715.jpg?v=1752589085&width=533,"Red elephant, kalamkari printed gajji silk saree with annam printed border & kalamkari printed pallu along with printed blouse","Red elephant, kalamkari printed gajji silk saree with annam printed border & kalamkari printed pallu along with printed blouse (srcset variant)",.jpg,133.18 KB,533x659,Success,
550,https://www.pothys.com/cdn/shop/files/8-POP-1287-RS-1755.jpg?v=1752589347&width=940,Yellow digital printed sitara shimmer saree with lace border & self pallu along with plain blouse,Yellow digital printed sitara shimmer saree with lace border & self pallu along with plain blouse (srcset variant),.jpg,204.17 KB,910x1125,Success,
551,https://www.pothys.com/cdn/shop/files/8a_366e61b0-c366-4758-8372-9ea488352f5b.jpg?v=1752589347&width=533,Yellow digital printed sitara shimmer saree with lace border & self pallu along with plain blouse,Yellow digital printed sitara shimmer saree with lace border & self pallu along with plain blouse (srcset variant),.jpg,118.30 KB,533x659,Success,
552,https://www.pothys.com/cdn/shop/files/8a_366e61b0-c366-4758-8372-9ea488352f5b.jpg?v=1752589347&width=720,Yellow digital printed sitara shimmer saree with lace border & self pallu along with plain blouse,Yellow digital printed sitara shimmer saree with lace border & self pallu along with plain blouse (srcset variant),.jpg,184.83 KB,720x890,Success,
